Source;Compte;Date;Date de valeur;Débit;Crédit;Libellé;Solde;catégorie;Solde initial;Index
Lplus_01.10.2024_22.12.2024.csv;Livret +;25/10/2024;25/10/2024;0;10;VIR Versement Initial;10;X;10;20241025,10
Lplus_01.10.2024_22.12.2024.csv;Livret +;31/10/2024;31/10/2024;0;2000;VIR Virement avec Fortuneo Livre;2010;X;0;20241031,2010
Lplus_01.10.2024_22.12.2024.csv;Livret +;31/10/2024;31/10/2024;-10;0;VIR Virement avec Fortuneo Compt;2000;X;0;20241031,2000
Lplus_01.10.2024_22.12.2024.csv;Livret +;27/11/2024;27/11/2024;0;11000;VIR Virement avec Fortuneo Livre;13000;X;0;20241127,13000
Lplus_01.10.2024_22.12.2024.csv;Livret +;02/12/2024;02/12/2024;0;2000;VIR Virement avec Fortuneo Livre;15000;X;0;20241202,15000
Lplus_01.10.2024_22.12.2024.csv;Livret +;06/12/2024;06/12/2024;0;2000;VIR Virement avec Fortuneo Livre;17000;X;0;20241206,17000
