Source;Compte;Date;Date de valeur;Débit;Crédit;Libellé;Solde;catégorie
LPL_02.09.2025_30.09.2025.csv;Livret DDS (L);02/09/2025;02/09/2025;-4000;0;VIR COMPTE COURANT JEUNE ACTIF;4970;X
LPL_02.09.2025_30.09.2025.csv;Livret DDS (L);09/09/2025;09/09/2025;0;4580;VIR DE M OU MME LEOPAUL VOGT;9550;X
LPL_02.09.2025_30.09.2025.csv;Livret DDS (L);13/09/2025;13/09/2025;-4677.56;0;VIR POUR LES FACTURE DEMARRAGE;4872.44;X
LPL_02.09.2025_30.09.2025.csv;Livret DDS (L);22/09/2025;22/09/2025;-4872.44;0;VIR COMPTE COURANT JEUNE ACTIF;0;X
LPL_02.09.2025_30.09.2025.csv;Livret DDS (L);30/09/2025;30/09/2025;0;7772.33;VIR DE M OU MME LEOPAUL VOGT;7772.33;X
